Job No,Date,Client,Type Of Txn,Filmed By,Antenna,Location,Satellite,Txp,Sat Charges Paid,Sat Provider,Duration,Pricing,Engineer2,Comments,Guest / Reporter,Studio,Camera,Guest fee,Duration_in_minutes
78,05-Jan-22,russian today,live studio transmission,Cameraman,Aviwest,NO Specific Location,No Satellite,Other Ch,No Sat Charges,No Sat Provider,0:35,350,Engineer,Comment,Guest / Reporter,other,,Payment,35
79,05-Jan-22,al mamlaka,live studio transmission,Cameraman,FLW,NO Specific Location,E21B,Slot 1 7A,ISOL,Noorsat,0:20,300,Engineer,Comment,Guest / Reporter,other,,Payment,20
80,05-Jan-22,al mamlaka,live studio transmission,Cameraman,FLW,NO Specific Location,E21B,Other Txp,ISOL,Noorsat,0:20,300,Engineer,Comment,Guest / Reporter,6(3rdfloor),,Payment,20
81,05-Jan-22,yemen live tv,space segment,NO Cameraman,No Antenna,NO Specific Location,E21B,Slot 2 7A,ISOL,Noorsat,0:20,32,Engineer,Comment,No Guest / Reporter,No Studio,,No Payment,20
82,05-Jan-22,yemen live tv,space segment,NO Cameraman,No Antenna,NO Specific Location,E21B,Slot 2 7A,ISOL,Noorsat,0:15,24,Engineer,Comment,No Guest / Reporter,No Studio,,No Payment,15
83,05-Jan-22,other,space segment,NO Cameraman,No Antenna,NO Specific Location,E21B,Slot 3 7A,ISOL,Noorsat,11:20,"1,135.00",Engineer,No Comment,No Guest / Reporter,No Studio,,No Payment,680
84,05-Jan-22,yemen live tv,space segment,NO Cameraman,No Antenna,NO Specific Location,E21B,Slot 2 7A,ISOL,Noorsat,0:15,24,Engineer,Comment,No Guest / Reporter,No Studio,,No Payment,15
85,05-Jan-22,yemen live tv,space segment,NO Cameraman,No Antenna,NO Specific Location,E21B,Slot 2 7A,ISOL,Noorsat,0:15,24,Engineer,Comment,No Guest / Reporter,No Studio,,No Payment,15
86,05-Jan-22,yemen live tv,space segment,NO Cameraman,No Antenna,NO Specific Location,E21B,Slot 2 7A,ISOL,Noorsat,0:20,32,Engineer,Comment,No Guest / Reporter,No Studio,,No Payment,20
87,05-Jan-22,yemen live tv,space segment,NO Cameraman,No Antenna,NO Specific Location,E21B,Slot 2 7A,ISOL,Noorsat,0:15,24,Engineer,Comment,No Guest / Reporter,No Studio,,No Payment,15
88,05-Jan-22,yemen live tv,space segment,NO Cameraman,No Antenna,NO Specific Location,E21B,Slot 2 7A,ISOL,Noorsat,0:15,24,Engineer,Comment,No Guest / Reporter,No Studio,,No Payment,15
89,05-Jan-22,yemen live tv,space segment,NO Cameraman,No Antenna,NO Specific Location,E21B,Slot 2 7A,ISOL,Noorsat,0:45,72,Engineer,Comment,No Guest / Reporter,No Studio,,No Payment,45
90,05-Jan-22,mbc,sng,NO Cameraman,Dacia G175677,Assigned Location,E21B,Other Ch,Client,No Sat Provider,3:40,400,Engineer,Comment,No Guest / Reporter,No Studio,,No Payment,220
92,06-Jan-22,trt arabic,live studio transmission,Cameraman,WMT,NO Specific Location,No Satellite,Output 2,No Sat Charges,No Sat Provider,0:15,120,Engineer,Comment,Guest / Reporter,1(6thfloor),,Payment,15
94,06-Jan-22,trt arabic,live studio transmission,Cameraman,WMT,NO Specific Location,No Satellite,Output 2,No Sat Charges,No Sat Provider,0:20,140,Engineer,Comment,Guest / Reporter,6(3rdfloor),,Payment,20
