,Price,4G,Reporter,Crew Duration,edit duration,DayOfWeek,Report Duration (seconds),Client_bbc arabic,Client_beirutsat,Client_bloomberg asharq,Client_byblos medya,Client_newstime,Client_priyanka cgtn,Client_russia today,Truck_Nissan Sunny,Truck_Nissan X.Trail,Truck_Renault Duster,Truck_Suzuki Cias,Truck_other Truck,Others Acces_No Acces,Others Acces_Pro-X,Others Acces_Torch,Format_MP4-HD,Format_MXF,Format_MXF OP1A,Format_MXF-HD 50i,Format_No format
674,325,1,1,1090,0,5,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
675,310,1,1,435,90,5,198,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0
676,280,0,1,210,80,5,204,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0
677,180,0,0,100,0,6,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
678,300,0,0,275,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
679,265,0,1,175,120,0,155,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
680,230,0,1,90,30,0,286,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
681,180,0,0,165,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
682,280,0,1,150,120,0,185,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
683,285,0,1,140,20,0,332,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
684,50,0,1,0,120,0,152,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
685,300,0,0,480,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
686,265,0,1,120,90,1,133,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
687,265,0,1,170,110,1,155,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
688,280,0,1,420,60,1,164,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0
689,285,0,1,345,60,1,100,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
690,180,0,0,90,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
691,40,0,1,0,90,1,165,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
692,350,0,0,155,30,2,90,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
693,265,0,1,0,60,2,300,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
694,50,0,1,0,90,2,148,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
695,300,0,0,340,0,2,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1
696,285,0,1,340,0,2,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
697,285,0,1,300,0,2,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
698,300,0,0,0,0,3,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
