,GVG Focus 75,LDX-80,Sony,Lenses: Tele lens,Lenses: Box lenses,Lenses:Fujinon,Canon Digisuper 75 XSW / EDFS,Video server,Headset microphones,Handled microphone,Audio monitor,Audio Mixer,Microphones,video server,LCD Screen,Wireless intercom.1,view finders,HF wireless,BLT slow motion,Playout server,Converters from HDMI to SDI,Other Accessories,CAMERAMEN STUDIO OPERATOR,Technician OBVAN,Price,Month,DayOfWeek,CLIENT_Other,CLIENT_Russia Today,CLIENT_Skynews Arabia,Distance_Category
112,4,0,0,0,0,0,0,1,0,0,1,1,4,1,1,0,0,0,0,0,0,0,0,1,2150,6,0,0,0,0,0.0
113,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,3500,6,1,0,0,0,1.0
114,0,2,0,2,1,0,0,1,0,0,2,1,0,1,0,1,0,0,0,0,0,0,1,1,18750,6,3,0,0,0,2.0
115,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0,2,0,0,0,800,6,3,0,0,0,1.0
116,0,2,0,2,1,0,0,1,0,0,2,1,0,1,0,1,0,1,0,1,0,0,1,1,800,7,4,0,0,0,2.0
117,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0,2,0,0,0,800,7,4,0,0,0,1.0
118,0,2,0,2,1,0,0,0,0,0,2,1,0,1,0,1,0,1,0,1,0,0,1,1,800,7,0,0,0,0,2.0
119,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0,2,0,0,0,800,7,0,0,0,0,1.0
120,0,0,0,2,0,0,0,0,0,0,2,1,0,2,0,1,2,0,0,1,0,0,1,1,3925,7,4,0,0,0,1.0
121,0,0,0,1,0,0,0,0,0,0,2,1,0,2,0,1,0,0,0,1,0,0,1,1,3425,7,5,0,0,0,1.0
122,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,550,7,4,0,0,0,2.0
123,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,6,0,0,0,0,650,7,6,0,0,0,2.0
124,0,3,0,0,2,0,0,0,0,0,0,0,0,0,0,2,2,1,1,0,0,1,0,0,2000,7,6,0,0,0,2.0
125,0,4,0,0,0,0,0,0,0,0,1,1,4,0,0,0,0,0,0,0,0,0,1,1,3000,8,3,0,1,0,2.0
126,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,150,8,6,0,0,0,1.0
127,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,150,8,6,0,0,0,1.0
128,0,1,0,1,2,0,0,0,0,0,0,0,0,0,0,1,2,1,0,0,0,0,0,0,1800,8,2,0,0,0,1.0
129,0,1,0,1,2,0,0,0,0,0,0,0,0,0,0,2,2,1,0,0,0,0,0,0,1950,8,3,0,0,0,1.0
130,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,150,8,3,0,0,0,1.0
131,0,2,0,2,2,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,1240,8,2,0,0,0,1.0
132,0,2,0,2,2,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,1240,8,3,0,0,0,1.0
133,0,0,3,0,0,0,0,0,0,0,1,1,2,0,1,0,0,0,0,0,0,0,1,1,1000,8,0,0,1,0,2.0
134,0,0,3,0,0,0,0,0,0,0,1,1,2,0,1,0,0,0,0,0,0,0,1,1,1000,8,0,0,1,0,2.0
